,utterance_id,transcript_raw,response_transcript_raw,is_grammatical,labels,transcript_file,child_name,transcript_clean,response_transcript_clean,prev_transcript_clean
11,11,twant a big hug .  545905n,tyou want  547391n,False,subject,/home/mitja/PhD/childes-grammaticality/data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-2-09-03.annotated.cex,thomas,twant a big hug . 545905n.,tyou want 547391n.,.
12,12,tI want kiss .  547391n,tyou want a big hug and a kiss ?  548866n,False,determiner,/home/mitja/PhD/childes-grammaticality/data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-2-09-03.annotated.cex,thomas,tI want kiss . 547391n.,tyou want a big hug and a kiss ? 548866n.,.
13,13,tI not going in .  700296n,tyou're not going in ?  701503n,False,auxiliary,/home/mitja/PhD/childes-grammaticality/data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-2-09-03.annotated.cex,thomas,tI not going in . 700296n.,tyou're not going in ? 701503n.,.
14,14,tjust like a big bear .  727289n,tshe's like a big bear ?  728531n,False,"subject, verb",/home/mitja/PhD/childes-grammaticality/data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-2-09-03.annotated.cex,thomas,tjust like a big bear . 727289n.,tshe's like a big bear ? 728531n.,.
15,15,ta@p hiding Purdie .  751765n,tyou're hiding from Purdie because you're puting the clothes over your eyes .  755887n,False,"subject, auxiliary, preposition",/home/mitja/PhD/childes-grammaticality/data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-2-09-03.annotated.cex,thomas,hiding Purdie . 751765n.,tyou're hiding from Purdie because you're puting the clothes over your eyes . 755887n.,.
16,16,they a@p tickle .  809251n,tdoes it tickle behind your knee ?  811090n,False,subject,/home/mitja/PhD/childes-grammaticality/data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-2-09-03.annotated.cex,thomas,they tickle . 809251n.,tdoes it tickle behind your knee ? 811090n.,.
17,17,they a@p tickle .  809251n,tdoes that tickle ?  814445n,False,subject,/home/mitja/PhD/childes-grammaticality/data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-2-09-03.annotated.cex,thomas,they tickle . 809251n.,tdoes that tickle ? 814445n.,.
18,18,twant um a@p want that digger .  846808n,tyou want the digger ?  847853n,False,subject,/home/mitja/PhD/childes-grammaticality/data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-2-09-03.annotated.cex,thomas,twant um want that digger . 846808n.,tyou want the digger ? 847853n.,.
19,19,tlid in Sainsbury .  860290n,tit's in Sainsbury ?  861884n,False,verb,/home/mitja/PhD/childes-grammaticality/data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-2-09-03.annotated.cex,thomas,tlid in Sainsbury . 860290n.,tit's in Sainsbury ? 861884n.,.
20,20,t&is funny .  921673n,tis it funny ?  923194n,False,subject,/home/mitja/PhD/childes-grammaticality/data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-2-09-03.annotated.cex,thomas,t&is funny . 921673n.,tis it funny ? 923194n.,.
21,21,ta@p see a@p flowers .  926723n,"tyou can see what , darling ?  928406n",False,"subject, auxiliary",/home/mitja/PhD/childes-grammaticality/data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-2-09-03.annotated.cex,thomas,see flowers . 926723n.,"tyou can see what, darling ? 928406n.",.
22,22,tcan see flowers .  933798n,tyou can see flowers ?  934796n,False,subject,/home/mitja/PhD/childes-grammaticality/data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-2-09-03.annotated.cex,thomas,tcan see flowers . 933798n.,tyou can see flowers ? 934796n.,.
23,23,tupside down .  961219n,tyou're upside down aren't you ?  962763n,False,"subject, verb",/home/mitja/PhD/childes-grammaticality/data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-2-09-03.annotated.cex,thomas,tupside down . 961219n.,tyou're upside down aren't you ? 962763n.,.
24,24,ta@p Purditer .  964389n,tyou can see Purditer ?  966119n,False,"subject, auxiliary, verb",/home/mitja/PhD/childes-grammaticality/data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-2-09-03.annotated.cex,thomas,Purditer . 964389n.,tyou can see Purditer ? 966119n.,.
25,25,toh not need breakfast .  1170223n,tyou don't need breakfast ?  1171697n,False,"subject, auxiliary",/home/mitja/PhD/childes-grammaticality/data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-2-09-03.annotated.cex,thomas,toh not need breakfast . 1170223n.,tyou don't need breakfast ? 1171697n.,.
26,26,t&sa highchair is not dirty .  1196854n,tI didn't say the highchair was dirty .  1198905n,False,determiner,/home/mitja/PhD/childes-grammaticality/data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-2-09-03.annotated.cex,thomas,t&sa highchair is not dirty . 1196854n.,tI didn't say the highchair was dirty . 1198905n.,.
27,27,ta@p want my fire engine now .  1263457n,tyou'd like your fire engine ?  1265501n,False,subject,/home/mitja/PhD/childes-grammaticality/data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-2-09-03.annotated.cex,thomas,want my fire engine now . 1263457n.,tyou'd like your fire engine ? 1265501n.,.
28,28,tnot need not need to eat [=! crying] .  1303828n,"tyou do need to eat , Thomas .  1306139n",False,subject,/home/mitja/PhD/childes-grammaticality/data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-2-09-03.annotated.cex,thomas,"tnot need not need to eat, . 1303828n.","tyou do need to eat, Thomas . 1306139n.",.
29,29,tit's you need a@p Krispies .  1366000n,tyou think I need the Krispies do you ?  1368577n,False,determiner,/home/mitja/PhD/childes-grammaticality/data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-2-09-03.annotated.cex,thomas,tit's you need Krispies . 1366000n.,tyou think I need the Krispies do you ? 1368577n.,.
30,30,tis@p taste very nice fire engine .  1459767n,tit tastes very nice .  1463842n,False,sv_agreement,/home/mitja/PhD/childes-grammaticality/data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-2-09-03.annotated.cex,thomas,taste very nice fire engine . 1459767n.,tit tastes very nice . 1463842n.,.
31,31,tnot fit .  1534699n,twill they not fit in his mouth ?  1536231n,False,"subject, auxiliary",/home/mitja/PhD/childes-grammaticality/data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-2-09-03.annotated.cex,thomas,tnot fit . 1534699n.,twill they not fit in his mouth ? 1536231n.,.
32,32,ta@p cutting it down .  1592875n,tyou're cutting it down ?  1595429n,False,"subject, auxiliary",/home/mitja/PhD/childes-grammaticality/data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-2-09-03.annotated.cex,thomas,cutting it down . 1592875n.,tyou're cutting it down ? 1595429n.,.
33,33,tmy wave somebody out the window .  1634938n,tyou're waving at somebody out of the window ?  1637237n,False,"other, auxiliary, other, preposition",/home/mitja/PhD/childes-grammaticality/data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-2-09-03.annotated.cex,thomas,tmy wave somebody out the window . 1634938n.,tyou're waving at somebody out of the window ? 1637237n.,.
34,34,tI wanted it .  1726725n,tyou want it ?  1727445n,False,tense_aspect,/home/mitja/PhD/childes-grammaticality/data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-2-09-03.annotated.cex,thomas,tI wanted it . 1726725n.,tyou want it ? 1727445n.,.
35,35,tI think I stuck in the mud .  1759242n,tyou think you're stuck in the mud ?  1761100n,False,auxiliary,/home/mitja/PhD/childes-grammaticality/data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-2-09-03.annotated.cex,thomas,tI think I stuck in the mud . 1759242n.,tyou think you're stuck in the mud ? 1761100n.,.
36,36,tdelicious [= actually says delias] fireman .  1779985n,"tit's delias , fireman ?  1781587n",False,"subject, verb",/home/mitja/PhD/childes-grammaticality/data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-2-09-03.annotated.cex,thomas,tdelicious [= actually says delias] fireman . 1779985n.,"tit's delias, fireman ? 1781587n.",.
37,37,tnot a@p not mean okey cokey .  1874719n,twhat did you say about the hokey cokey ?  1877756n,False,other,/home/mitja/PhD/childes-grammaticality/data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-2-09-03.annotated.cex,thomas,tnot not mean okey cokey . 1874719n.,twhat did you say about the hokey cokey ? 1877756n.,.
38,38,tI@p not eat very sweets .  2055689n,tyou don't eat very sweet ?  2057198n,False,"subject, auxiliary",/home/mitja/PhD/childes-grammaticality/data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-2-09-03.annotated.cex,thomas,not eat very sweets . 2055689n.,tyou don't eat very sweet ? 2057198n.,.
39,39,tnot like a@p sweets .  2064768n,tyou don't like sweets ?  2066515n,False,"subject, auxiliary",/home/mitja/PhD/childes-grammaticality/data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-2-09-03.annotated.cex,thomas,tnot like sweets . 2064768n.,tyou don't like sweets ? 2066515n.,.
40,40,tum poopoops .  2175632n,twhat's poopoops ?  2179144n,False,other,/home/mitja/PhD/childes-grammaticality/data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-2-09-03.annotated.cex,thomas,tum poopoops . 2175632n.,twhat's poopoops ? 2179144n.,.
41,41,ttrain poopoops .  2181338n,toh the train says poop poop .  2183103n,False,"determiner, verb",/home/mitja/PhD/childes-grammaticality/data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-2-09-03.annotated.cex,thomas,ttrain poopoops . 2181338n.,toh the train says poop poop . 2183103n.,.
42,42,t&am Doodles .  2193598n,tyou want Doodles ?  2195316n,False,"subject, verb",/home/mitja/PhD/childes-grammaticality/data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-2-09-03.annotated.cex,thomas,t&am Doodles . 2193598n.,tyou want Doodles ? 2195316n.,.
43,43,tI@p my got Doodles .  2209780n,tyou've not got  2213124n,False,auxiliary,/home/mitja/PhD/childes-grammaticality/data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-2-09-03.annotated.cex,thomas,my got Doodles . 2209780n.,tyou've not got 2213124n.,.
44,44,ta@p &na hair spoon .  2258309n,tyou heard a spoon ?  2259470n,False,"subject, determiner",/home/mitja/PhD/childes-grammaticality/data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-2-09-03.annotated.cex,thomas,hair spoon . 2258309n.,tyou heard a spoon ? 2259470n.,.
45,45,twhere Thomas spoon ?  2263255n,twhere's Thomas's spoon ?  2264497n,False,"verb, possessive",/home/mitja/PhD/childes-grammaticality/data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-2-09-03.annotated.cex,thomas,twhere Thomas spoon ? 2263255n.,twhere's Thomas's spoon ? 2264497n.,.
46,46,tthrow rubbish bags all over the place .  2309326n,tyou're doing what all over the place ?  2311590n,False,"subject, other",/home/mitja/PhD/childes-grammaticality/data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-2-09-03.annotated.cex,thomas,tthrow rubbish bags all over the place . 2309326n.,tyou're doing what all over the place ? 2311590n.,.
47,47,t0 [=! babble] smell honey .  2478066n,tyou can smell honey ?  2480319n,False,"subject, auxiliary",/home/mitja/PhD/childes-grammaticality/data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-2-09-03.annotated.cex,thomas,"t0, smell honey . 2478066n.",tyou can smell honey ? 2480319n.,.
48,48,tI not think so .  2510404n,tyou don't think so ?  2511228n,False,auxiliary,/home/mitja/PhD/childes-grammaticality/data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-2-09-03.annotated.cex,thomas,tI not think so . 2510404n.,tyou don't think so ? 2511228n.,.
49,49,tI not think so .  2510404n,tyou don't think you'd like it ?  2515074n,False,auxiliary,/home/mitja/PhD/childes-grammaticality/data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-2-09-03.annotated.cex,thomas,tI not think so . 2510404n.,tyou don't think you'd like it ? 2515074n.,.
50,50,ta@p Rice Krispie up .  2540564n,tyou're lifting the Rice Krispie up ?  2542945n,False,"subject, verb, determiner",/home/mitja/PhD/childes-grammaticality/data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-2-09-03.annotated.cex,thomas,Rice Krispie up . 2540564n.,tyou're lifting the Rice Krispie up ? 2542945n.,.
51,51,tI done it .  2569681n,tyou've done it have you ?  2571236n,False,auxiliary,/home/mitja/PhD/childes-grammaticality/data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-2-09-03.annotated.cex,thomas,tI done it . 2569681n.,tyou've done it have you ? 2571236n.,.
52,52,ta@p can't .  2595464n,tyou can't ?  2595557n,False,subject,/home/mitja/PhD/childes-grammaticality/data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-2-09-03.annotated.cex,thomas,can't . 2595464n.,tyou can't ? 2595557n.,.
53,53,tI'm drop a@p jingle bells .  2695730n,tyou dropped jingle bells ?  2697936n,False,"auxiliary, tense_aspect",/home/mitja/PhD/childes-grammaticality/data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-2-09-03.annotated.cex,thomas,tI'm drop jingle bells . 2695730n.,tyou dropped jingle bells ? 2697936n.,.
54,54,ta@p lights going off .  2818884n,tthe lights are going off ?  2820103n,False,"determiner, auxiliary",/home/mitja/PhD/childes-grammaticality/data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-2-09-03.annotated.cex,thomas,lights going off . 2818884n.,tthe lights are going off ? 2820103n.,.
55,55,tgo sleep Mummy .  2861447n,tyou're going to sleep ?  2862910n,False,"subject, auxiliary",/home/mitja/PhD/childes-grammaticality/data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-2-09-03.annotated.cex,thomas,tgo sleep Mummy . 2861447n.,tyou're going to sleep ? 2862910n.,.
56,56,thold it .  2996222n,tyou'd like to hold it ?  2998196n,False,"subject, auxiliary",/home/mitja/PhD/childes-grammaticality/data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-2-09-03.annotated.cex,thomas,thold it . 2996222n.,tyou'd like to hold it ? 2998196n.,.
57,57,twant to hold .  3013203n,tyou want to hold it ?  3014179n,False,"subject, object",/home/mitja/PhD/childes-grammaticality/data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-2-09-03.annotated.cex,thomas,twant to hold . 3013203n.,tyou want to hold it ? 3014179n.,.
58,58,tI@p hold them .  3022874n,tyou can't hold them .  3024848n,False,subject,/home/mitja/PhD/childes-grammaticality/data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-2-09-03.annotated.cex,thomas,hold them . 3022874n.,tyou can't hold them . 3024848n.,.
59,59,ta ladder .  3087931n,the can't use a ladder .  3089031n,False,"subject, verb",/home/mitja/PhD/childes-grammaticality/data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-2-09-03.annotated.cex,thomas,ta ladder . 3087931n.,the can't use a ladder . 3089031n.,.
60,60,ta ladder .  3087931n,the'll be up the ladder .  3090076n,False,"subject, verb",/home/mitja/PhD/childes-grammaticality/data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-2-09-03.annotated.cex,thomas,ta ladder . 3087931n.,the'll be up the ladder . 3090076n.,.
61,61,ta@p something to drink .  3137249n,tthat is something to drink .  3138538n,False,"subject, verb",/home/mitja/PhD/childes-grammaticality/data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-2-09-03.annotated.cex,thomas,something to drink . 3137249n.,tthat is something to drink . 3138538n.,.
62,62,tno a@p hiding it .  3160899n,tyou're hiding it .  3161665n,False,"subject, auxiliary",/home/mitja/PhD/childes-grammaticality/data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-2-09-03.annotated.cex,thomas,tno hiding it . 3160899n.,tyou're hiding it . 3161665n.,.
63,63,tno a@p hiding it .  3160899n,toh you're hiding from me now aren't you ?  3167664n,False,"subject, auxiliary",/home/mitja/PhD/childes-grammaticality/data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-2-09-03.annotated.cex,thomas,tno hiding it . 3160899n.,toh you're hiding from me now aren't you ? 3167664n.,.
64,64,tgoing home now .  3328030n,"twho's going home , darling ?  3330479n",False,subject,/home/mitja/PhD/childes-grammaticality/data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-2-09-03.annotated.cex,thomas,tgoing home now . 3328030n.,"twho's going home, darling ? 3330479n.",.
65,65,tputing in that slot .  3375176n,tyou're puting it in that slot ?  3377916n,False,"subject, object",/home/mitja/PhD/childes-grammaticality/data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-2-09-03.annotated.cex,thomas,tputing in that slot . 3375176n.,tyou're puting it in that slot ? 3377916n.,.
66,66,tdirty one .  3423503n,tthat's not a dirty one .  3424920n,False,"subject, verb, determiner",/home/mitja/PhD/childes-grammaticality/data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-2-09-03.annotated.cex,thomas,tdirty one . 3423503n.,tthat's not a dirty one . 3424920n.,.
67,67,tdiging up potatoes .  3459070n,tyou're diging up potatoes ?  3461952n,False,"subject, auxiliary",/home/mitja/PhD/childes-grammaticality/data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-2-09-03.annotated.cex,thomas,tdiging up potatoes . 3459070n.,tyou're diging up potatoes ? 3461952n.,.
68,0,tI don't want you sit down .  33948n,toh I need to sit somewhere .  35539n,False,preposition,/home/mitja/PhD/childes-grammaticality/data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-4-04-06.annotated.cex,thomas,tI don't want you sit down . 33948n.,toh I need to sit somewhere . 35539n.,.
69,1,tthis is  328106n,tthat's my &ow my card is it ?  329639n,False,object,/home/mitja/PhD/childes-grammaticality/data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-4-04-06.annotated.cex,thomas,tthis is 328106n.,tthat's my my card is it ? 329639n.,.
70,2,tthat it doesn't charge lots uhm of money xxx .  349589n,twhat do you mean it doesn't charge lots of money ?  351715n,True,,/home/mitja/PhD/childes-grammaticality/data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-4-04-06.annotated.cex,thomas,tthat it doesn't charge lots uhm of money . 349589n.,twhat do you mean it doesn't charge lots of money ? 351715n.,.
71,3,ta bank card .  1141462n,tit is a bank card .  1142658n,False,"subject, verb",/home/mitja/PhD/childes-grammaticality/data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-4-04-06.annotated.cex,thomas,ta bank card . 1141462n.,tit is a bank card . 1142658n.,.
72,4,tI am can hear .  1374951n,"tI can hear something I'm just trying to ignore it , Thomas .  1377436n",False,auxiliary,/home/mitja/PhD/childes-grammaticality/data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-4-04-06.annotated.cex,thomas,tI am can hear . 1374951n.,"tI can hear something I'm just trying to ignore it, Thomas . 1377436n.",.
73,5,tall of the scary monsters kill you .  1455284n,tall of the scary monsters to kill me ?  1457473n,False,preposition,/home/mitja/PhD/childes-grammaticality/data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-4-04-06.annotated.cex,thomas,tall of the scary monsters kill you . 1455284n.,tall of the scary monsters to kill me ? 1457473n.,.
74,6,tbigger than smaller ones .  1829186n,tthey're bigger than smaller ones .  1830428n,False,"subject, verb",/home/mitja/PhD/childes-grammaticality/data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-4-04-06.annotated.cex,thomas,tbigger than smaller ones . 1829186n.,tthey're bigger than smaller ones . 1830428n.,.
75,7,tyou don't .  1854792n,tI didn't help you did I ?  1856452n,False,verb,/home/mitja/PhD/childes-grammaticality/data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-4-04-06.annotated.cex,thomas,tyou don't . 1854792n.,tI didn't help you did I ? 1856452n.,.
76,8,tthat's why you've got lots of xxx .  1922937n,twhy what ?  1924806n,False,object,/home/mitja/PhD/childes-grammaticality/data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-4-04-06.annotated.cex,thomas,tthat's why you've got lots of . 1922937n.,twhy what ? 1924806n.,.
77,9,tsmelly socks .  2135680n,tthey're not smelly socks they're freshly washed clean socks that are folded up and ready to go upstairs when I go upstairs .  2142557n,False,"subject, verb",/home/mitja/PhD/childes-grammaticality/data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-4-04-06.annotated.cex,thomas,tsmelly socks . 2135680n.,tthey're not smelly socks they're freshly washed clean socks that are folded up and ready to go upstairs when I go upstairs . 2142557n.,.
78,10,tand then I knocked the head off right over the fence .  2413475n,tyou knocked the head right over the fence ?  2415172n,False,preposition,/home/mitja/PhD/childes-grammaticality/data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-4-04-06.annotated.cex,thomas,tand then I knocked the head off right over the fence . 2413475n.,tyou knocked the head right over the fence ? 2415172n.,.
79,11,tI see a Tiddles .  2479701n,tTiddles what their cat ?  2480803n,True,,/home/mitja/PhD/childes-grammaticality/data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-4-04-06.annotated.cex,thomas,tI see a Tiddles . 2479701n.,tTiddles what their cat ? 2480803n.,.
80,12,tI've seen xxx crossings .  3019280n,tyou've seen zebra crossings or level crossings ?  3022206n,False,other,/home/mitja/PhD/childes-grammaticality/data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-4-04-06.annotated.cex,thomas,tI've seen crossings . 3019280n.,tyou've seen zebra crossings or level crossings ? 3022206n.,.
81,13,tdon't you dare .  3214398n,tdon't I dare what ?  3215409n,True,,/home/mitja/PhD/childes-grammaticality/data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-4-04-06.annotated.cex,thomas,tdon't you dare . 3214398n.,tdon't I dare what ? 3215409n.,.
82,0,txxx can shut again .  225220n,tit's shut again ?  226323n,False,subject,/home/mitja/PhD/childes-grammaticality/data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-3-01-15.annotated.cex,thomas,can shut again . 225220n.,tit's shut again ? 226323n.,.
83,1,thow you take that off ?  485171n,tyou don't .  485798n,False,auxiliary,/home/mitja/PhD/childes-grammaticality/data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-3-01-15.annotated.cex,thomas,thow you take that off ? 485171n.,tyou don't . 485798n.,.
84,2,tum just a page .  629487n,tyou're looking at the page ?  630369n,False,"subject, verb, preposition",/home/mitja/PhD/childes-grammaticality/data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-3-01-15.annotated.cex,thomas,tum just a page . 629487n.,tyou're looking at the page ? 630369n.,.
85,3,tblue and green .  753001n,tit's green isn't it ?  754359n,False,"subject, verb",/home/mitja/PhD/childes-grammaticality/data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-3-01-15.annotated.cex,thomas,tblue and green . 753001n.,tit's green isn't it ? 754359n.,.
86,4,tand &bla and blue .  759258n,tis it blue ?  760643n,False,"subject, verb",/home/mitja/PhD/childes-grammaticality/data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-3-01-15.annotated.cex,thomas,tand and blue . 759258n.,tis it blue ? 760643n.,.
87,5,tdon't know .  840688n,toh I don't know either .  842325n,False,subject,/home/mitja/PhD/childes-grammaticality/data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-3-01-15.annotated.cex,thomas,tdon't know . 840688n.,toh I don't know either . 842325n.,.
88,6,tdon't want to .  1015664n,tyou don't want to ?  1016837n,False,subject,/home/mitja/PhD/childes-grammaticality/data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-3-01-15.annotated.cex,thomas,tdon't want to . 1015664n.,tyou don't want to ? 1016837n.,.
89,7,twant trim some more .  1024457n,tyou want me to do some more weeds ?  1026245n,False,subject,/home/mitja/PhD/childes-grammaticality/data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-3-01-15.annotated.cex,thomas,twant trim some more . 1024457n.,tyou want me to do some more weeds ? 1026245n.,.
90,8,tgood idea .  1034223n,tis that a good idea ?  1035384n,False,"subject, verb, determiner",/home/mitja/PhD/childes-grammaticality/data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-3-01-15.annotated.cex,thomas,tgood idea . 1034223n.,tis that a good idea ? 1035384n.,.
91,9,t&sa more like it .  1155437n,tis that more like it ?  1157261n,False,"subject, verb",/home/mitja/PhD/childes-grammaticality/data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-3-01-15.annotated.cex,thomas,t&sa more like it . 1155437n.,tis that more like it ? 1157261n.,.
