id,transcript_file,speaker_code,transcript_clean,is_grammatical,labels,age
945270,4764,[CAR],uhhuh Santa_Claus got you those paints.,,,35.0
945281,4764,[CAR],and Mommy and Daddy got you these paints.,,,35.0
945294,4764,[CAR],what are you doing with that pen?,,,35.0
945305,4764,[CHI],it's Daddy's.,1.0,,35.0
945315,4764,[CHI],I'm gonna give it back to him when I get done drawing this picture for Thanksgiving and and and this picture for trickortreat.,0.0,,35.0
945329,4764,[CAR],you're using a pen and a paint brush at the same time?,,,35.0
945338,4764,[CHI],uhhuh.,,,35.0
945346,4764,[CAR],I bet that's going to be a strange picture.,,,35.0
945356,4764,[CHI],I need some water in here.,1.0,,35.0
945367,4764,[CAR],no that one's just thick.,,,35.0
945378,4764,[CAR],it still works alright.,,,35.0
945389,4764,[CHI],hey!,,,35.0
945400,4764,[CHI],this gotted on my hand.,-1.0,tense_aspect,35.0
945413,4764,[CAR],that's alright.,,,35.0
945425,4764,[CAR],it won't stain your hand.,,,35.0
945438,4764,[CAR],I can wash it off when you're done.,,,35.0
945450,4764,[CHI],why this stains on my shirt?,-1.0,auxiliary,35.0
945463,4764,[CAR],because your shirt we can't wash as fast as your hands get it?,,,35.0
945473,4764,[CHI],why these are not fashed up?,-1.0,auxiliary,35.0
945486,4764,[CAR],smashed up?,,,35.0
945496,4764,[CHI],no fashed like these.,0.0,,35.0
945506,4764,[CAR],I don't know what made those get so watery.,,,35.0
945519,4764,[CAR],they still work alright though.,,,35.0
945530,4764,[CAR],what are we going to eat on Thanksgiving Abe?,,,35.0
945542,4764,[CHI],turkey.,,,35.0
945552,4764,[CAR],uhhuh what else?,,,35.0
945562,4764,[CHI],bread.,,,35.0
945572,4764,[CAR],uhhuh.,,,35.0
945583,4764,[CHI],what else?,1.0,,35.0
945591,4764,[CAR],cranberries.,,,35.0
945600,4764,[CHI],no we don't like we don't like that.,1.0,,35.0
945609,4764,[CAR],Abe have you ever tasted cranberries?,,,35.0
945616,4764,[CHI],uhuh.,,,35.0
945626,4764,[CAR],okay then don't say that you don't like them.,,,35.0
945637,4764,[CAR],wait until you taste them.,,,35.0
945647,4764,[CHI],we didn't taste we tasted them at school.,1.0,,35.0
945659,4764,[CHI],they didn't feel good.,1.0,,35.0
945668,4764,[CAR],you tasted them at school?,,,35.0
945677,4764,[CHI],and they didn't feel good.,1.0,,35.0
945687,4764,[CAR],where didn't they feel good?,,,35.0
945697,4764,[CHI],I don't know.,1.0,,35.0
945704,4764,[CAR],on your tongue?,,,35.0
945713,4764,[CHI],uhhuh.,,,35.0
945724,4764,[CAR],or your mouth?,,,35.0
945735,4764,[CHI],uhuh.,,,35.0
945746,4764,[CAR],what else are we going to eat?,,,35.0
945756,4764,[CHI],I don't know.,1.0,,35.0
945766,4764,[CAR],dressing.,,,35.0
945776,4764,[CHI],dressing what's dressing?,1.0,,35.0
945787,4764,[CAR],it's stuff that's put inside the turkey.,,,35.0
945801,4764,[CAR],it's made out_of bread.,,,35.0
945808,4764,[CAR],do you think you'll like it?,,,35.0
945818,4764,[CHI],I think I will.,1.0,,35.0
945828,4764,[CAR],how about pickles?,,,35.0
945838,4764,[CHI],pickles?,,,35.0
945850,4764,[CHI],what's pickles?,0.0,,35.0
945861,4764,[CAR],remember?,,,35.0
945871,4764,[CAR],we made pickles.,,,35.0
945883,4764,[CHI],I don't like pickles.,1.0,,35.0
945898,4764,[CAR],have you ever tasted pickles.,,,35.0
945909,4764,[CHI],hunhunh.,,,35.0
945919,4764,[CAR],how can you that?,,,35.0
945936,4764,[CAR],that you don't like them then?,,,35.0
945945,4764,[CHI],because I don't like them.,1.0,,35.0
945955,4764,[CHI],I want some oranges when we eat dinner.,1.0,,35.0
945961,4764,[CHI],know I'm a artist?,0.0,,35.0
945971,4764,[CAR],I really think you are an artist.,,,35.0
945981,4764,[CHI],I am.,1.0,,35.0
945986,4764,[CAR],are you done with that picture?,,,35.0
945996,4764,[CHI],no I'm still doing this one.,1.0,,35.0
946006,4764,[CAR],okay you sure have been working on it for a long time.,,,35.0
946020,4764,[CHI],are these uh are juicy ones this juicy paint it's juicy right?,1.0,,35.0
946034,4764,[CAR],uhhuh.,,,35.0
946039,4764,[CHI],this is juicy right?,1.0,,35.0
946049,4764,[CAR],uhhuh it's watery.,,,35.0
946057,4764,[CHI],why you can't fingerpaint with these?,-1.0,auxiliary,35.0
946067,4764,[CAR],oh you can.,,,35.0
946075,4764,[CAR],but we ran out_of fingerpainting paper.,,,35.0
946085,4764,[CAR],so you can use the paintbrush instead.,,,35.0
946096,4764,[CHI],now it's finished.,1.0,,35.0
946102,4764,[CHI],now it's finished Mom.,1.0,,35.0
946109,4764,[CAR],good.,,,35.0
946117,4764,[CAR],would you like to make another one?,,,35.0
946128,4764,[CHI],no no.,1.0,,35.0
946137,4764,[CAR],are you all through?,,,35.0
946147,4764,[CHI],yeah all through.,1.0,,35.0
946156,4764,[CHI],are this this goes on the green one?,1.0,,35.0
946166,4764,[CAR],yeah.,,,35.0
946174,4764,[CHI],this goes on the green one.,1.0,,35.0
946183,4764,[CHI],no this goes on the red one.,1.0,,35.0
946192,4764,[CHI],I got it on my shirt.,1.0,,35.0
946207,4764,[CAR],aw we better go take your shirt off and put it in the water to soak.,,,35.0
946216,4764,[CHI],do you think that'll work?,1.0,,35.0
946225,4764,[CHI],uhhuh then wear it again okay?,0.0,,35.0
946234,4764,[CAR],after I wash it.,,,35.0
946244,4764,[CHI],you hot when you wear long sleeves?,0.0,,35.0
946257,4764,[CAR],not when it's cold outside.,,,35.0
946268,4764,[CHI],can I wear another shirt?,1.0,,35.0
946280,4764,[CAR],yeah you hafta.,,,35.0
946292,4764,[CHI],why?,,,35.0
946302,4764,[CAR],because I don't want you to get too cold.,,,35.0
946310,4764,[CHI],how long Thanksgiving and Christmas be over?,-1.0,"preposition, auxiliary",35.0
946320,4764,[CAR],Thanksgiving is on Thursday and Christmas is December twenty fifth.,,,35.0
946331,4764,[CAR],so Thanksgiving and Christmas will both be over December twenty sixth.,,,35.0
946340,4764,[CHI],why?,,,35.0
946349,4764,[CAR],because.,,,35.0
946358,4764,[CHI],can we watch it again?,1.0,,35.0
946372,4764,[CAR],what?,,,35.0
946380,4764,[CAR],Charlie_Brown's on at seven.,,,35.0
946396,4764,[CHI],I hafta turn the seven on.,1.0,,35.0
946403,4764,[CHI],where's this is the seven okay?,0.0,,35.0
946414,4764,[CAR],uhhuh.,,,35.0
946421,4764,[CHI],it's not any good at seven.,1.0,,35.0
946432,4764,[CAR],Abe don't touch this cloth when your hands are dirty.,,,35.0
946441,4764,[CHI],do my hands look like this dirty?,-1.0,other,35.0
946453,4764,[CAR],yes they look very dirty.,,,35.0
946464,4764,[CHI],why I painted on them?,-1.0,auxiliary,35.0
946475,4764,[CAR],why did you?,,,35.0
946484,4764,[CHI],because I thought my hands are paper.,1.0,,35.0
946493,4764,[CAR],you thought they were paper?,,,35.0
946501,4764,[CHI],yeah wash my hands.,0.0,,35.0
946510,4764,[CHI],why you doing this one?,-1.0,auxiliary,35.0
946519,4764,[CHI],why you washing this one?,-1.0,auxiliary,35.0
946530,4764,[CAR],it's faster.,,,35.0
946540,4764,[CHI],huh?,,,35.0
946549,4764,[CAR],it's a faster way to use the wash cloth.,,,35.0
946561,4764,[CHI],why?,,,35.0
946570,4764,[CAR],just because.,,,35.0
946578,4764,[CAR],what are you doing Abe?,,,35.0
946591,4764,[CHI],I'm getting my shirt on.,-1.0,preposition,35.0
946600,4764,[CAR],oh.,,,35.0
946606,4764,[CHI],why Daddy have little pimples?,-1.0,auxiliary,35.0
946617,4764,[CAR],those are nipples Abe.,,,35.0
946624,4764,[CAR],it's an n word.,,,35.0
946637,4764,[CHI],where's my burger hat?,1.0,,35.0
946645,4764,[CAR],your king burger hat?,,,35.0
946653,4764,[CHI],yeah my king burger hat.,1.0,,35.0
946661,4764,[CAR],I think that it's over in the corner.,,,35.0
946667,4764,[CHI],Daddy sick?,-1.0,auxiliary,35.0
946674,4764,[CAR],uhhuh he has a upset tummy.,,,35.0
946684,4764,[CHI],when people are sick.,1.0,,35.0
946693,4764,[CHI],they are tired.,1.0,,35.0
946702,4764,[CAR],uhhuh your body needs a_lot_of rest when you're sick.,,,35.0
946713,4764,[CAR],so sick people sleep a_lot.,,,35.0
946720,4764,[CAR],Ann you can go to the co-op now if you want.,,,35.0
946730,4764,[CAR],and I'll finish the tape when you get home.,,,35.0
946741,4764,[CHI],and get strawberries I_mean blueberries.,1.0,,35.0
946749,4764,[CAR],Abe strawberries and blueberries are out_of season.,,,35.0
946759,4764,[CAR],we can only get them during the summer.,,,35.0
946766,4764,[CHI],huh?,,,35.0
946769,4764,[CAR],we can only get strawberries and blueberries during the summer.,,,35.0
946776,4764,[CHI],this can't get up.,1.0,,35.0
946783,4764,[CHI],this can't stand up either.,1.0,,35.0
946789,4764,[CAR],do you wanna go to the store with me Abe?,,,35.0
946796,4764,[CHI],yeah.,,,35.0
946803,4764,[CAR],go get your jacket on.,,,35.0
946809,4764,[CHI],I I don't wanna go.,1.0,,35.0
946815,4764,[CAR],okay.,,,35.0
946821,4764,[CHI],why you going?,-1.0,present_progressive,35.0
946831,4764,[CAR],I hafta get some cranberries.,,,35.0
946839,4764,[CAR],what are you doing Abe?,,,35.0
946846,4764,[CHI],I'm hammering this.,1.0,,35.0
946853,4764,[CAR],oh.,,,35.0
946858,4764,[CHI],I'm hammering this too.,1.0,,35.0
946867,4764,[CHI],why you dressed like that?,-1.0,auxiliary,35.0
946874,4764,[CHI],you wear a jacket.,-1.0,present_progressive,35.0
946881,4764,[CAR],what?,,,35.0
946888,4764,[CHI],you wear a jacket that don't had a hood on it.,-1.0,present_progressive,35.0
946897,4764,[CHI],I wanna wear a jacket like that.,1.0,,35.0
946906,4764,[CAR],are you going to come with me or stay home?,,,35.0
946915,4764,[CHI],after this I will after these a_lot_of things.,1.0,,35.0
946925,4764,[CAR],no I hafta go now.,,,35.0
946934,4764,[CHI],because I wanna get home in time to watch Charlie_Brown.,1.0,,35.0
946944,4764,[CAR],don't you wanna go now Abe so_that you'll be home in time to watch Charlie_Brown?,,,35.0
946955,4764,[CHI],pretty soon I will.,1.0,,35.0
946966,4764,[CAR],well I'm going.,,,35.0
946976,4764,[CHI],I'm gonna hold on to you.,1.0,,35.0
946986,4764,[CAR],how am I going to go if you're hanging on to me without your jacket?,,,35.0
946996,4764,[CAR],huh?,,,35.0
947003,4764,[CHI],I wanna hang on to you just a second.,-1.0,preposition,35.0
947020,4764,[CAR],no I wanna be home to watch Charlie_Brown.,,,35.0
947029,4764,[CHI],where's my book I got?,-1.0,determiner,35.0
947041,4764,[CAR],your new one?,,,35.0
947053,4764,[CHI],yeah my new one where is it?,1.0,,35.0
947064,4764,[CAR],I don't know.,,,35.0
947078,4764,[CAR],where'd you put it?,,,35.0
947088,4764,[CHI],I don't know.,1.0,,35.0
947093,4764,[CAR],Abe.,,,35.0
947100,4764,[CHI],huh?,,,35.0
947110,4764,[CAR],are you coming with me or not?,,,35.0
947117,4764,[CHI],I will pretty soon.,1.0,,35.0
947129,4764,[CAR],well I'm leaving now.,,,35.0
947139,4764,[CHI],how long you get home?,-1.0,preposition,35.0
947150,4764,[CAR],about twenty minutes.,,,35.0
947163,4764,[CHI],don't get a_lot_of stuff.,1.0,,35.0
947173,4764,[CAR],I'm not.,,,35.0
947184,4764,[CAR],I'm gonna get honey and cranberries.,,,35.0
947193,4764,[CHI],that all?,0.0,,35.0
947204,4764,[CAR],yeah.,,,35.0
947213,4764,[CHI],I wanna go.,1.0,,35.0
947223,4764,[CHI],why you not wearing a hood with jacket?,-1.0,auxiliary,35.0
947234,4764,[CHI],why you not wearing a jacket with a hood on it?,-1.0,auxiliary,35.0
947248,4764,[CAR],you can take your hood off if you want.,,,35.0
947258,4764,[CHI],will you carry me?,1.0,,35.0
947267,4764,[CAR],I can't carry you.,,,35.0
947276,4764,[CAR],you're a big boy.,,,35.0
947287,4764,[CHI],I'm too heavy?,1.0,,35.0
947300,4764,[CAR],you sure are.,,,35.0
947311,4764,[CHI],pretty soon I can carry you.,1.0,,35.0
947323,4764,[CAR],when you get bigger you can carry me all you want.,,,35.0
947335,4764,[CAR],I'd really enjoy that for a change.,,,35.0
947346,4764,[CHI],you make my clothes bigger when I grow up?,-1.0,auxiliary,35.0
947360,4764,[CAR],yeah I'll hafta.,,,35.0
947371,4764,[CAR],let's go goodbye Dad.,,,35.0
947381,4764,[CAR],bye.,,,35.0
947393,4764,[CHI],bye.,,,35.0
947403,4764,[CHI],you do this.,1.0,,35.0
947415,4764,[CHI],you get the stem off of this one.,1.0,,35.0
947422,4764,[CHI],sure here you go.,1.0,,35.0
947435,4764,[CHI],um that sounds like a good apple.,1.0,,35.0
947445,4764,[CHI],tell Daddy about the sparkles.,1.0,,35.0
947456,4764,[CHI],huh?,,,35.0
947467,4764,[CAR],tell Daddy about the sparkles we saw at the store.,,,35.0
947476,4764,[CHI],I didn't know about that.,1.0,,35.0
947485,4764,[CAR],you don't?,,,35.0
947495,4764,[CHI],huhuh.,,,35.0
947507,4764,[CAR],would you like some walnuts?,,,35.0
947519,4764,[CHI],yeah this is a big one.,1.0,,35.0
947529,4764,[CHI],these are both big.,1.0,,35.0
947537,4764,[CHI],is Charlie Brown on now when we got home?,-1.0,tense_aspect,35.0
947549,4764,[CAR],pretty soon.,,,35.0
947560,4764,[CAR],we got our shopping done so fast we have a little time to spare.,,,35.0
947571,4764,[CHI],Daddy you want your apple?,1.0,,35.0
947581,4764,[CAR],not right now thank_you.,,,35.0
947594,4764,[CHI],hey Daddy this got a bite in it.,1.0,,35.0
947607,4764,[CAR],I did that.,,,35.0
947619,4764,[CAR],I wanted to see how it tasted.,,,35.0
947631,4764,[CHI],huh?,,,35.0
947649,4764,[CAR],I did it.,,,35.0
947660,4764,[CHI],why?,,,35.0
947673,4764,[CAR],I wanted a taste.,,,35.0
947688,4764,[CHI],why you did that?,-1.0,auxiliary,35.0
947698,4764,[CAR],because I wanted to find out what the apple tasted like.,,,35.0
947705,4764,[CHI],I needta go tee_tee.,0.0,,35.0
947716,4764,[CHI],I need somebody watch me.,-1.0,preposition,35.0
947728,4764,[CHI],I need somebody to come with me.,1.0,,35.0
947740,4764,[CAR],how come?,,,35.0
947751,4764,[CHI],because.,,,35.0
947761,4764,[CAR],why?,,,35.0
947773,4764,[CHI],because.,,,35.0
947785,4764,[CAR],how do you feel when someone watches you?,,,35.0
947799,4764,[CHI],I don't know.,1.0,,35.0
947816,4764,[CHI],I think I feel any not any good.,1.0,,35.0
947826,4764,[CAR],you don't feel good?,,,35.0
947840,4764,[CHI],hunhunh.,,,35.0
947848,4764,[CAR],do you feel safe?,,,35.0
947860,4764,[CHI],no.,,,35.0
947874,4764,[CAR],do you feel secure?,,,35.0
947887,4764,[CHI],I feel safe when someone's watching you watching me.,1.0,,35.0
947899,4764,[CAR],oh who watched you today when you woke up from your nap?,,,35.0
947911,4764,[CHI],I don't know who did it?,1.0,,35.0
947918,4764,[CAR],Greggy.,,,35.0
947929,4764,[CHI],yeah Greggy did.,1.0,,35.0
947939,4764,[CHI],what Greggy did to me?,-1.0,auxiliary,35.0
947950,4764,[CAR],he watched you poo_poo remember?,,,35.0
947965,4764,[CAR],you asked him.,,,35.0
947974,4764,[CAR],and what did he say?,,,35.0
947985,4764,[CHI],he didn't say anything.,1.0,,35.0
948001,4764,[CAR],he didn't?,,,35.0
948010,4764,[CHI],hunhunh know what he did?,0.0,,35.0
948020,4764,[CAR],what?,,,35.0
948031,4764,[CHI],I don't know.,1.0,,35.0
948042,4764,[CHI],that was silly question.,-1.0,determiner,35.0
948054,4764,[CHI],you didn't know what he did.,1.0,,35.0
948067,4764,[CAR],hey!,,,35.0
948078,4764,[CAR],don't throw your walnuts on the floor.,,,35.0
948089,4764,[CAR],they're expensive.,,,35.0
948101,4764,[CHI],what kind this is?,-1.0,auxiliary,35.0
948110,4764,[CAR],it's a walnut too.,,,35.0
948125,4764,[CAR],it's just really fat.,,,35.0
948140,4764,[CHI],owie!,,,35.0
948149,4764,[CAR],what happened?,,,35.0
948157,4764,[CHI],I eat this one.,-1.0,tense_aspect,35.0
948165,4764,[CAR],you bit your cheek?,,,35.0
948180,4764,[CHI],uhhuh.,,,35.0
948189,4764,[CAR],are you hungry?,,,35.0
948200,4764,[CHI],yeah can we have one of our cookies?,1.0,,35.0
948211,4764,[CAR],after you eat your apple.,,,35.0
948219,4764,[CHI],we eat the white thing?,1.0,,35.0
948228,4764,[CAR],uhhuh that's the fruit.,,,35.0
948239,4764,[CHI],eat this part.,1.0,,35.0
948254,4764,[CAR],uhhuh.,,,35.0
948266,4764,[CHI],eat this part now.,1.0,,35.0
948277,4764,[CAR],you eat it.,,,35.0
948286,4764,[CHI],I don't want it.,1.0,,35.0
948299,4764,[CAR],that's the best part.,,,35.0
948306,4764,[CAR],it's crisp.,,,35.0
948320,4764,[CHI],what's crisp?,1.0,,35.0
948335,4764,[CAR],listen to this.,,,35.0
948342,4764,[CHI],that's crisp can you get up?,1.0,,35.0
948355,4764,[CHI],can you get up?,1.0,,35.0
948367,4764,[CAR],no you're too heavy.,,,35.0
948377,4764,[CAR],you're as big as a whale.,,,35.0
948386,4764,[CHI],uhuh.,,,35.0
948397,4764,[CAR],as a elephant?,,,35.0
948412,4764,[CHI],uhuh.,,,35.0
948422,4764,[CAR],as a dog?,,,35.0
948435,4764,[CHI],uhuh.,,,35.0
948448,4764,[CAR],do you like that apple Abe?,,,35.0
948462,4764,[CHI],you eat your one.,-1.0,other,35.0
948476,4764,[CAR],I will later.,,,35.0
948489,4764,[CHI],I eat the white part when I'm through eating this.,-1.0,tense_aspect,35.0
948502,4764,[CAR],good the fruit is really good.,,,35.0
948517,4764,[CAR],turn the tv on.,,,35.0
948528,4764,[CAR],it's time for Charlie_Brown and Snoopy.,,,35.0
948537,4764,[CHI],I will turn it on.,1.0,,35.0
948546,4764,[CHI],I wanna see Snoopy.,1.0,,35.0
948554,4764,[CHI],remember in my book?,0.0,,35.0
948565,4764,[CHI],he had soup.,1.0,,35.0
948578,4764,[CAR],was he eating soup?,,,35.0
948593,4764,[CHI],yeah he put his nose in.,1.0,,35.0
948606,4764,[CAR],that was pretty silly wasn't it?,,,35.0
948618,4764,[CHI],uhhuh why why Charlie Brown come get him?,-1.0,auxiliary,35.0
948632,4764,[CAR],because Peppermint_Patty got tired of Snoopy.,,,35.0
948644,4764,[CAR],he made her do too much work.,,,35.0
948652,4764,[CHI],did he bite Charlie_Brown?,1.0,,35.0
948667,4764,[CAR],no Charlie Brown put a leash on him.,,,35.0
948682,4764,[CAR],but Snoopy didn't like that.,,,35.0
948692,4764,[CAR],so he took the leash off and ran back to Peppermint_Patty's house.,,,35.0
948704,4764,[CHI],why how you get leashes off?,-1.0,"auxiliary, determiner",35.0
948717,4764,[CAR],you unbuckle it.,,,35.0
948730,4764,[CAR],it's just like a belt.,,,35.0
948744,4764,[CHI],remember Greg at school?,0.0,,35.0
948760,4764,[CAR],yeah what did he do?,,,35.0
948775,4764,[CHI],I don't know.,1.0,,35.0
948794,4764,[CHI],he didn't do anything.,1.0,,35.0
948804,4764,[CAR],Abe look on the tv.,,,35.0
948817,4764,[CAR],what's that?,,,35.0
948826,4764,[CHI],I don't know.,1.0,,35.0
948840,4764,[CHI],what that is it's a turtle.,1.0,,35.0
948855,4764,[CAR],right.,,,35.0
948868,4764,[CAR],is that guy a horse?,,,35.0
948881,4764,[CHI],huh?,,,35.0
948894,4764,[CAR],do you think that that guy's a horse?,,,35.0
948910,4764,[CAR],that's what the announcer said.,,,35.0
948926,4764,[CHI],he didn't said.,-1.0,tense_aspect,35.0
948938,4764,[CHI],you're a horse.,1.0,,35.0
948951,4764,[CHI],he said.,1.0,,35.0
948965,4764,[CHI],you're like a horse.,1.0,,35.0
948979,4764,[CHI],right Mom?,1.0,,35.0
948992,4764,[CAR],right.,,,35.0
949007,4764,[CAR],Jesus_Christ.,,,35.0
949022,4764,[CHI],Charlie_Brown's on.,1.0,,35.0
949035,4764,[CAR],yeah are you glad that you get to watch Charlie_Brown?,,,35.0
949052,4764,[CHI],yeah how long I go at sleep?,-1.0,preposition,35.0
949062,4764,[CAR],not now.,,,35.0
949079,4764,[CAR],you can watch this.,,,35.0
949087,4764,[CAR],and when it's over you can go to sleep.,,,35.0
949103,4764,[CHI],not when a commercial comes on.,1.0,,35.0
949111,4764,[CAR],no you can stay up until this show's over okay?,,,35.0
949124,4764,[CHI],okay.,,,35.0
989132,4916,[CAR],what do you want for breakfast?,,,59.0
989142,4916,[CHI],jello and something else.,1.0,,59.0
989160,4916,[CAR],do you want one of these toasted?,,,59.0
989171,4916,[CHI],I wanna see what you have Mom Mommy.,1.0,,59.0
989180,4916,[CAR],uhhuh.,,,59.0
989189,4916,[CHI],I want a little bowl of grapenuts.,1.0,,59.0
989199,4916,[CAR],a little bowl of grapenuts and jello?,,,59.0
989209,4916,[CHI],uhhuh but put a_lot_of honey in.,1.0,,59.0
989211,4916,[CAR],okay do you want hot chocolate?,,,59.0
989220,4916,[CHI],no I want milk.,1.0,,59.0
989229,4916,[CHI],I hafta go poop.,1.0,,59.0
989238,4916,[CAR],okay.,,,59.0
989246,4916,[CHI],who's using the toilet?,1.0,,59.0
989255,4916,[CAR],nobody.,,,59.0
989262,4916,[CHI],who left the light on?,1.0,,59.0
989271,4916,[CAR],I did.,,,59.0
989278,4916,[CHI],I forgot to go tee_tee.,0.0,,59.0
989285,4916,[CHI],Mommy let's see how little the bowls are.,1.0,,59.0
989293,4916,[CHI],hey they're both the same.,1.0,,59.0
989300,4916,[CAR],we needta get milk today.,,,59.0
989309,4916,[CHI],where?,,,59.0
989316,4916,[CHI],hey we're running out_of everything.,1.0,,59.0
989325,4916,[CHI],we're running out_of everything now.,1.0,,59.0
989331,4916,[CAR],what are we running out_of?,,,59.0
989339,4916,[CHI],we're running out_of something that was here.,1.0,,59.0
989349,4916,[CHI],something that could be here.,1.0,,59.0
989355,4916,[CHI],and something that could be here.,1.0,,59.0
989361,4916,[CHI],and something that could be here too.,1.0,,59.0
989367,4916,[CAR],do you think we should keep all the shelves full all of the time?,,,59.0
989375,4916,[CHI],yeah because if we have a_lot_of food all the time.,-1.0,tense_aspect,59.0
989388,4916,[CHI],then we could have then we could have a_lot_of food.,1.0,,59.0
989396,4916,[CAR],we have more bad new Abe.,,,59.0
989404,4916,[CHI],what?,,,59.0
989412,4916,[CAR],Steve and Marsha called and they aren't going to be able to come up here.,,,59.0
989423,4916,[CHI],why didn't we call them?,1.0,,59.0
989431,4916,[CAR],it was really strange.,,,59.0
989436,4916,[CAR],I tried to call them.,,,59.0
989442,4916,[CAR],but their line was busy.,,,59.0
989450,4916,[CAR],so I hung up the phone.,,,59.0
989457,4916,[CAR],and guess what happened?,,,59.0
989465,4916,[CHI],what?,,,59.0
989477,4916,[CAR],they called us.,,,59.0
989486,4916,[CAR],I called them while they were trying to call us.,,,59.0
989495,4916,[CAR],isn't that strange?,,,59.0
989503,4916,[CHI],yeah hey Mommy.,1.0,,59.0
989511,4916,[CAR],what?,,,59.0
989517,4916,[CHI],why don't we go to the grocery store and just look for things that are cheap?,1.0,,59.0
989531,4916,[CAR],for what?,,,59.0
989540,4916,[CHI],for cereal.,1.0,,59.0
989548,4916,[CAR],what kind of cereal?,,,59.0
989557,4916,[CHI],you know Alphabits.,1.0,,59.0
989564,4916,[CAR],if they're on sale we'll get them.,,,59.0
989571,4916,[CHI],I can't make them.,1.0,,59.0
989580,4916,[CHI],so we'll hafta buy them.,1.0,,59.0
989590,4916,[CAR],maybe Santa'll put some in your stocking.,,,59.0
989601,4916,[CAR],sometimes he leaves stuff like that.,,,59.0
989612,4916,[CHI],yeah like candy.,1.0,,59.0
989622,4916,[CHI],how will he know what I want all the way up there?,1.0,,59.0
989630,4916,[CAR],you'll hafta write a letter and tell him to bring our gifts here instead of to Texas.,,,59.0
989643,4916,[CHI],uhuh we're probably going to rent a cabin for some days.,1.0,,59.0
989653,4916,[CAR],yeah but not on Christmas day.,,,59.0
989663,4916,[CAR],we'll be here then.,,,59.0
989670,4916,[CHI],well what are the cabins going to be for?,1.0,,59.0
989680,4916,[CHI],who's going to give us gifts.,1.0,,59.0
989688,4916,[CAR],all of our friends in Texas.,,,59.0
989697,4916,[CHI],how?,,,59.0
989708,4916,[CHI],they can't mail them.,1.0,,59.0
989718,4916,[CAR],why do you think they can't mail them?,,,59.0
989725,4916,[CHI],because then we wouldn't get them on Christmas_Eve.,1.0,,59.0
989734,4916,[CAR],I think we'd get them before.,,,59.0
989742,4916,[CAR],then we're going to mail our gifts to Texas.,,,59.0
989753,4916,[CHI],uhhuh but we would get our Christmas gifts before Christmas_Eve.,1.0,,59.0
989768,4916,[CHI],so we would think we could unwrap them before Christmas.,1.0,,59.0
989778,4916,[CAR],no way.,,,59.0
989786,4916,[CHI],I hafta go poop.,1.0,,59.0
989796,4916,[CAR],do you have diarrhea?,,,59.0
989805,4916,[CHI],no I went tee_tee.,0.0,,59.0
